figure,series,mode,x,x_label,value,unit,source,selector
fig9,latency_vs_socket_bw_saturated_core_none,snc3,72,72 bg threads,327.024,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,1,1 bg threads,222.646,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,2,2 bg threads,227.765,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,4,4 bg threads,237.05,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,8,8 bg threads,313.157,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,12,12 bg threads,448.716,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,16,16 bg threads,420.45,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,24,24 bg threads,463.358,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,32,32 bg threads,454.391,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,40,40 bg threads,432.038,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,48,48 bg threads,443.675,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,56,56 bg threads,453.425,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,64,64 bg threads,444.094,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_saturated_core_1g,snc3,72,72 bg threads,472.463,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""saturated_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,1,1 bg threads,159.693,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,2,2 bg threads,159.624,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,4,4 bg threads,159.494,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,8,8 bg threads,159.107,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,12,12 bg threads,159.596,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,16,16 bg threads,159.625,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,24,24 bg threads,159.557,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,32,32 bg threads,204.383,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,40,40 bg threads,318.351,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,48,48 bg threads,160.883,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,56,56 bg threads,208.324,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_none,snc3,64,64 bg threads,307.138,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""none"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,1,1 bg threads,113.255,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,2,2 bg threads,114.12,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,4,4 bg threads,113.917,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,8,8 bg threads,113.741,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,12,12 bg threads,114.174,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,16,16 bg threads,125.773,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,24,24 bg threads,125.954,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,32,32 bg threads,146.622,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,40,40 bg threads,217.845,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,48,48 bg threads,126.943,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,56,56 bg threads,148.933,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
fig9,latency_vs_socket_bw_remote_unused_core_1g,snc3,64,64 bg threads,212.509,ns,results/snc3/latency_vs_socket_bw_delphi-3af6_20260605_1945.csv,"bg_pattern==""read"" victim_role==""remote_unused_core"" hugepage==""1g"" median_ns numeric; exclude background_finished_during_probe"
